date,channel_group,spend,sessions,purchases,revenue,new_customers
2026-03-01,paid_meta,1200,3400,68,5100,58
2026-03-01,organic_social,0,2900,52,4100,34
2026-03-02,paid_meta,1300,3550,72,5500,61
2026-03-02,organic_social,0,3000,55,4350,36
2026-03-03,paid_meta,1250,3480,70,5320,60
2026-03-03,organic_social,0,3100,57,4520,37
2026-03-04,paid_meta,1400,3650,75,5750,64
2026-03-04,organic_social,0,3200,58,4700,38
2026-03-05,paid_meta,1500,3800,80,6200,68
2026-03-05,organic_social,0,3300,60,4900,39
2026-03-06,paid_meta,1450,3750,77,6000,66
2026-03-06,organic_social,0,3350,61,4980,40
2026-03-07,paid_meta,1550,3900,82,6400,70
2026-03-07,organic_social,0,3450,63,5200,42
